B: Marius
N: Luca

06 25
61 51
25 44
67 47
13 23
72 50
02 35
64 54
35 02
63 43
44 56
65 56
02 24
75 31
c03 13
73 37
16 36
76 64
24 35
50 23
10 30
37 36
14 24
36 06
13 31
06 07
04 13
07 05
35 44
77 75
44 66
60 40
66 55
40 31
55 37
70 30
17 27
30 20
12 32
75 15
c37 15
23 34
32 43
56 46
00 20
34 01
20 70
05 32
70 60
46 36
11 21
32 21
24 34
36 26
43 53
26 16
53 64
16 06
p D
15 42
21 32
60 40
31 21
40 60
01 10
60 62
21 11
62 60
11 01
p D
60 61
06 16
c13 24
32 43
42 53
16 05
34 44
01 04
END:0
